Prev. Attempt,10.12,24.24,36.36,23.41
Prev. Attempt,11.13,27.24,39.21,94.08
Prev. Attempt,12.12,27.24,39.36,94.41
Prev. Attempt,13.13,24.24,36.21,23.08
Prev. Attempt,14.12,23.24,37.36,38.41
Prev. Attempt,12.68,18.84,24.76,22.16
Prev. Attempt,12.12,18.24,24.36,22.41
Prev. Attempt,14.13,23.24,37.21,38.08
Prev. Attempt,13.12,24.24,36.36,23.41
Prev. Attempt,12.13,27.24,39.21,94.08
Prev. Attempt,11.12,27.24,39.36,94.41
Prev. Attempt,10.68,24.84,36.76,23.16
Prev. Attempt,15.84,24.24,32,19.82
Prev. Attempt,43.57,53.07,60.93,139.12
Prev. Attempt,14.59,20.49,26.13,7.68
Prev. Attempt,9.65,14.81,19.85,14.72
Prev. Attempt,5.85,13.02,19.29,78.41
Prev. Attempt,9.14,13.46,17.64,0
Prev. Attempt,5.55,9.19,13.03,172.57
Prev. Attempt,8.59,15.32,19.5,132.51
Prev. Attempt,5.88,12.3,17.32,177.78
Prev. Attempt,12.92,21.76,31.18,2.97
Prev. Attempt,4.52,7.45,10.52,146.54
